epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.0074,1.4444,3.58852,1.70728,0.1661,0.141,0.19633,0.10337,1.46754,3.30502,1.79479,0.000366351,0.000366351,0.000366351
2,60.889,1.39637,2.92508,1.56523,0.14824,0.42372,0.19849,0.09349,1.68198,2.66145,1.95292,0.000726266,0.000726266,0.000726266
3,90.3183,1.37996,2.53909,1.57641,0.20459,0.50584,0.22283,0.12666,1.60622,2.27402,1.99907,0.00107571,0.00107571,0.00107571
4,118.878,1.34542,2.31452,1.50804,0.22798,0.35547,0.25134,0.14718,1.54563,2.22195,1.92159,0.00106386,0.00106386,0.00106386
5,147.255,1.38386,2.16428,1.53932,0.27086,0.52792,0.32351,0.17884,1.58343,2.0894,1.90473,0.00104815,0.00104815,0.00104815
6,175.885,1.31546,1.99454,1.48951,0.22394,0.61351,0.33082,0.17922,1.64837,2.00767,1.88404,0.00103244,0.00103244,0.00103244
7,204.214,1.31888,1.90877,1.4847,0.28356,0.52644,0.36873,0.20973,1.59523,1.95517,1.91258,0.00101672,0.00101672,0.00101672
8,232.72,1.26454,1.82562,1.4557,0.33441,0.48114,0.38604,0.22474,1.38854,1.90166,1.70462,0.00100101,0.00100101,0.00100101
9,261.186,1.23606,1.76902,1.45391,0.26504,0.59462,0.37215,0.20022,1.49679,1.91469,1.76114,0.000985298,0.000985298,0.000985298
10,289.161,1.21359,1.68414,1.44172,0.29216,0.59252,0.34154,0.20239,1.46873,1.79847,1.80074,0.000969586,0.000969586,0.000969586
11,317.505,1.19435,1.64883,1.41524,0.27343,0.63034,0.38559,0.23215,1.40298,1.76882,1.69162,0.000953873,0.000953873,0.000953873
12,346.214,1.22607,1.63948,1.41962,0.34104,0.61896,0.45295,0.28833,1.38773,1.65893,1.69498,0.00093816,0.00093816,0.00093816
13,374.82,1.18709,1.57001,1.39116,0.33118,0.48359,0.42918,0.26631,1.41733,1.7476,1.71249,0.000922447,0.000922447,0.000922447
14,403.163,1.16151,1.55297,1.38118,0.34316,0.56488,0.44129,0.26861,1.43774,1.74503,1.7802,0.000906735,0.000906735,0.000906735
15,431.428,1.14513,1.51009,1.38376,0.44526,0.56903,0.4734,0.29525,1.43407,1.54895,1.74751,0.000891022,0.000891022,0.000891022
16,459.969,1.13436,1.48844,1.36555,0.38795,0.48492,0.41981,0.23348,1.53774,1.94096,1.7835,0.000875309,0.000875309,0.000875309
17,487.994,1.11447,1.44889,1.35557,0.45105,0.44855,0.45162,0.28985,1.49151,1.73752,1.75817,0.000859597,0.000859597,0.000859597
18,516.106,1.13559,1.4414,1.37683,0.42886,0.4953,0.45347,0.27442,1.44313,1.57514,1.73396,0.000843884,0.000843884,0.000843884
19,544.209,1.13726,1.48208,1.3619,0.32938,0.60496,0.41768,0.26203,1.39779,1.69041,1.73681,0.000828171,0.000828171,0.000828171
20,572.337,1.08373,1.39296,1.32985,0.4754,0.46122,0.43012,0.26352,1.3536,1.86778,1.70253,0.000812458,0.000812458,0.000812458
21,600.449,1.07786,1.35419,1.32363,0.41877,0.51075,0.48951,0.32557,1.35974,1.56967,1.64296,0.000796746,0.000796746,0.000796746
22,628.677,1.07821,1.33105,1.32951,0.3926,0.5437,0.44938,0.28167,1.42688,1.70391,1.76747,0.000781033,0.000781033,0.000781033
23,656.999,1.06257,1.32792,1.31954,0.45892,0.4128,0.44782,0.28103,1.43108,1.71651,1.75316,0.00076532,0.00076532,0.00076532
24,684.847,1.04523,1.28785,1.29324,0.51606,0.49968,0.51237,0.32726,1.34355,1.57078,1.6907,0.000749608,0.000749608,0.000749608
25,713.127,1.07472,1.30446,1.32687,0.54262,0.46817,0.47365,0.30694,1.40436,1.70229,1.74216,0.000733895,0.000733895,0.000733895
26,741.215,1.04709,1.2491,1.30433,0.37904,0.54474,0.446,0.29146,1.32427,1.67813,1.63461,0.000718182,0.000718182,0.000718182
27,769.175,1.02133,1.25761,1.28833,0.46171,0.47949,0.4292,0.27781,1.42327,1.77213,1.7406,0.000702469,0.000702469,0.000702469
28,797.439,0.99455,1.25551,1.2647,0.40629,0.58317,0.46457,0.29563,1.38737,1.5388,1.71366,0.000686757,0.000686757,0.000686757
29,825.618,0.99699,1.20908,1.28452,0.53646,0.51271,0.50013,0.31656,1.43785,1.52073,1.76073,0.000671044,0.000671044,0.000671044
30,854.007,1.00024,1.18997,1.26823,0.47719,0.65423,0.5468,0.36242,1.39363,1.44649,1.7016,0.000655331,0.000655331,0.000655331
31,882.619,0.96425,1.10231,1.26904,0.47706,0.57524,0.50284,0.32395,1.45075,1.70842,1.75152,0.000639619,0.000639619,0.000639619
32,911.23,0.99006,1.1441,1.26724,0.45142,0.62846,0.5066,0.32037,1.38573,1.66592,1.70752,0.000623906,0.000623906,0.000623906
33,939.513,0.95823,1.0918,1.24314,0.4336,0.50087,0.44397,0.28367,1.36923,1.79297,1.71726,0.000608193,0.000608193,0.000608193
34,968.074,0.95745,1.11689,1.23794,0.55772,0.52429,0.51559,0.3274,1.40679,1.65225,1.75001,0.00059248,0.00059248,0.00059248
35,996.48,0.94336,1.06558,1.23977,0.44951,0.53588,0.47985,0.31164,1.37081,1.68848,1.70544,0.000576768,0.000576768,0.000576768
36,1024.71,0.94946,1.07672,1.24943,0.4866,0.49157,0.49659,0.32219,1.39546,1.56564,1.72293,0.000561055,0.000561055,0.000561055
37,1052.89,0.91282,1.05132,1.21411,0.39149,0.68248,0.49993,0.33089,1.41713,1.61356,1.78365,0.000545342,0.000545342,0.000545342
38,1080.96,0.89958,1.04502,1.22433,0.48098,0.50202,0.50431,0.32818,1.39283,1.72038,1.79108,0.00052963,0.00052963,0.00052963
39,1108.96,0.90622,0.99556,1.22525,0.46136,0.64614,0.51244,0.33557,1.38155,1.50269,1.72282,0.000513917,0.000513917,0.000513917
40,1137.51,0.90408,1.05005,1.21603,0.45231,0.60987,0.55345,0.35832,1.44321,1.43696,1.78285,0.000498204,0.000498204,0.000498204
41,1165.74,0.87251,0.96094,1.2052,0.55781,0.50238,0.53324,0.35114,1.37283,1.50224,1.7484,0.000482491,0.000482491,0.000482491
42,1194.21,0.88077,0.92786,1.20384,0.52517,0.63138,0.56536,0.37113,1.37703,1.52868,1.74488,0.000466779,0.000466779,0.000466779
43,1223.4,0.86497,0.95439,1.18687,0.46667,0.57977,0.49841,0.31672,1.42012,1.70295,1.77697,0.000451066,0.000451066,0.000451066
44,1251.68,0.87692,0.9485,1.19496,0.50941,0.57126,0.52062,0.3382,1.39263,1.60753,1.72168,0.000435353,0.000435353,0.000435353
45,1280.11,0.85782,0.91234,1.20024,0.5502,0.58059,0.55165,0.35942,1.37901,1.47378,1.75217,0.000419641,0.000419641,0.000419641
46,1308.5,0.82541,0.91231,1.16446,0.50551,0.56773,0.52742,0.34286,1.43584,1.64233,1.82255,0.000403928,0.000403928,0.000403928
47,1337.1,0.84408,0.90814,1.1759,0.56184,0.59504,0.57686,0.37888,1.38619,1.48363,1.76121,0.000388215,0.000388215,0.000388215
48,1365.74,0.82062,0.8762,1.17171,0.57596,0.60816,0.57301,0.36911,1.4198,1.63395,1.78355,0.000372502,0.000372502,0.000372502
49,1394.6,0.81193,0.85326,1.15495,0.51827,0.59905,0.57105,0.37927,1.40825,1.43448,1.81645,0.00035679,0.00035679,0.00035679
50,1422.88,0.80671,0.84601,1.1487,0.52588,0.60466,0.55525,0.35947,1.39435,1.64461,1.79076,0.000341077,0.000341077,0.000341077
51,1451.11,0.8082,0.83721,1.15377,0.60103,0.6108,0.57808,0.3707,1.40165,1.50107,1.8088,0.000325364,0.000325364,0.000325364
52,1479.64,0.78806,0.80727,1.15388,0.53457,0.64198,0.5712,0.37836,1.40492,1.47774,1.80692,0.000309652,0.000309652,0.000309652
53,1507.92,0.82936,0.84706,1.19659,0.50146,0.65381,0.5287,0.33848,1.39687,1.48699,1.8069,0.000293939,0.000293939,0.000293939
54,1535.99,0.7808,0.7748,1.13544,0.56486,0.71584,0.59791,0.38733,1.37738,1.39572,1.79997,0.000278226,0.000278226,0.000278226
55,1564.7,0.78141,0.79337,1.1458,0.61302,0.55136,0.54366,0.35294,1.35134,1.47757,1.76165,0.000262513,0.000262513,0.000262513
56,1593.36,0.7661,0.77044,1.13427,0.64301,0.56772,0.5788,0.37905,1.40171,1.52702,1.83332,0.000246801,0.000246801,0.000246801
57,1621.9,0.76153,0.75117,1.13078,0.55401,0.64277,0.57384,0.37661,1.399,1.59517,1.80979,0.000231088,0.000231088,0.000231088
58,1650.03,0.73211,0.72902,1.10846,0.42752,0.70485,0.55663,0.37039,1.41329,1.52561,1.83427,0.000215375,0.000215375,0.000215375
59,1678.32,0.74209,0.72634,1.11813,0.57097,0.52075,0.55323,0.36067,1.38281,1.5154,1.81626,0.000199663,0.000199663,0.000199663
60,1706.54,0.73402,0.73712,1.11456,0.55263,0.62973,0.56935,0.3766,1.38677,1.45928,1.84456,0.00018395,0.00018395,0.00018395
61,1736.01,0.64955,0.53359,1.1035,0.58801,0.55973,0.55212,0.36146,1.38814,1.47791,1.84109,0.000168237,0.000168237,0.000168237
62,1763.38,0.6252,0.49415,1.07528,0.57699,0.59268,0.55284,0.36771,1.38003,1.57053,1.85314,0.000152524,0.000152524,0.000152524
63,1790.96,0.6216,0.4778,1.06938,0.60232,0.62534,0.57241,0.38252,1.38679,1.496,1.82482,0.000136812,0.000136812,0.000136812
64,1817.26,0.60928,0.45327,1.07007,0.59444,0.60672,0.58131,0.38874,1.37557,1.47726,1.83754,0.000121099,0.000121099,0.000121099
65,1843.24,0.58872,0.45272,1.04832,0.54186,0.56209,0.53964,0.36036,1.40334,1.58842,1.86577,0.000105386,0.000105386,0.000105386
66,1870.15,0.57524,0.42788,1.04274,0.55985,0.60013,0.5706,0.37765,1.35183,1.50793,1.81052,8.96736e-05,8.96736e-05,8.96736e-05
67,1897.4,0.56735,0.41768,1.03535,0.63804,0.5782,0.57479,0.38107,1.36224,1.51931,1.8514,7.39609e-05,7.39609e-05,7.39609e-05
68,1924.97,0.55683,0.40538,1.0127,0.59306,0.60329,0.55754,0.36975,1.35989,1.52773,1.85992,5.82481e-05,5.82481e-05,5.82481e-05
69,1952.28,0.55186,0.40989,1.02949,0.60265,0.55339,0.55939,0.37336,1.36251,1.52901,1.86811,4.25354e-05,4.25354e-05,4.25354e-05
70,1979.8,0.5583,0.39642,1.02723,0.58957,0.55527,0.55663,0.36844,1.37206,1.53646,1.88531,2.68227e-05,2.68227e-05,2.68227e-05
